Electronic_Electronic,0.1442775385195128
Electronic_Folk, World, & Country,0.12375124789767777
Electronic_Funk / Soul,0.1279150290579042
Electronic_Hip Hop,0.12120165830010304
Electronic_Jazz,0.11917679921839557
Electronic_Reggae,0.09105774952331558
Electronic_Stage & Screen,0.13232051036046708
Folk, World, & Country_Electronic,0.12446051142665261
Folk, World, & Country_Folk, World, & Country,0.15273246799415469
Folk, World, & Country_Funk / Soul,0.12368344153267341
Folk, World, & Country_Hip Hop,0.11794602860378825
Folk, World, & Country_Jazz,0.08130379610209383
Folk, World, & Country_Reggae,0.0794544870344301
Folk, World, & Country_Stage & Screen,0.14300846045789045
Funk / Soul_Electronic,0.12661344557872636
Funk / Soul_Folk, World, & Country,0.12891791480164008
Funk / Soul_Funk / Soul,0.16378473232462243
Funk / Soul_Hip Hop,0.11999434753254588
Funk / Soul_Jazz,0.09239756680714588
Funk / Soul_Reggae,0.08398073109648456
Funk / Soul_Stage & Screen,0.1499403086490929
Hip Hop_Electronic,0.12890519948380713
Hip Hop_Folk, World, & Country,0.11950611957740462
Hip Hop_Funk / Soul,0.12254788519879055
Hip Hop_Hip Hop,0.1322872135600147
Hip Hop_Jazz,0.10672398584429174
Hip Hop_Reggae,0.09961044340161607
Hip Hop_Stage & Screen,0.12202196806611028
Jazz_Electronic,0.13794870510315282
Jazz_Folk, World, & Country,0.10862856516755666
Jazz_Funk / Soul,0.11279338705575183
Jazz_Hip Hop,0.11681792691636544
Jazz_Jazz,0.2599718147267898
Jazz_Reggae,0.1800909513607621
Jazz_Stage & Screen,0.11153882251431545
Reggae_Electronic,0.12506854463078837
Reggae_Folk, World, & Country,0.1080279689020485
Reggae_Funk / Soul,0.10895655248253666
Reggae_Hip Hop,0.11512500596708143
Reggae_Jazz,0.16244446504578897
Reggae_Reggae,0.21380672373131596
Reggae_Stage & Screen,0.09146775059740651
Stage & Screen_Electronic,0.13598380548557124
Stage & Screen_Folk, World, & Country,0.15495541455774484
Stage & Screen_Funk / Soul,0.15348719632519142
Stage & Screen_Hip Hop,0.1449137691480036
Stage & Screen_Jazz,0.15483338184033832
Stage & Screen_Reggae,0.10167151392670348
Stage & Screen_Stage & Screen,0.45677365362644196
